,The Night Circus (Clare),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,10,10,9,10,9,8,9,,9,,,,,,,,,,,,,,,,
Total,9.75,9.5,8.75,9.25,8.5,8.25,9,0,8.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,A Visit From The Goon Squad (Clare),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,3,7,1,7,3,2,5,,4,,,,,,,,,,,,,,,,
Quality of writing,4,6,1,8,7,2,8,,6,,,,,,,,,,,,,,,,
Character development,4,8,1,7,5,2,5,,7,,,,,,,,,,,,,,,,
Overall experience / enjoyment,3,7,1,7,6,1,6,,6,,,,,,,,,,,,,,,,
Total,3.5,7,1,7.25,5.25,1.75,6,#DIV/0!,5.75,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The Battle of Ink and Ice (Bill),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,8,8,7,8,8,,,8,8,,,,,,,,,,,,,,,,
Quality of writing,7,9,7,8,8,,,7,6,,,,,,,,,,,,,,,,
Character development,6,6,6,6,6,,,7,7,,,,,,,,,,,,,,,,
Overall experience / enjoyment,6,9,8,8,8,,,8,7,,,,,,,,,,,,,,,,
Total,6.75,8,7,7.5,7.5,#DIV/0!,#DIV/0!,7.5,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The Nicander Chronicles (Dunc),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,1,1,2,2,3,,2,3,2,,,,,,,,,,,,,,,,
Quality of writing,5,2,3,5,2,,2,2,3,,,,,,,,,,,,,,,,
